,vm_pu,va_degree
0,1.03,0.0
1,0.9919718226389178,-36.55677079088202
2,0.9681473021301191,-37.60419064608031
3,0.930961111379072,-39.33095981021107
4,0.9290984029246688,-39.4349734262752
5,0.9278227393246918,-39.506621704581285
6,0.9263207735528053,-39.59179096694449
7,0.9251219707777638,-39.589560404079535
8,0.9254042781941144,-39.57899212319957
9,0.9244215567174169,-39.61916722161127
10,0.9231735971877081,-39.68543004869285
11,0.9229797752679393,-39.6965271983226
12,1.0001462529762855,-35.48709975776674
13,0.9953255860732702,-35.538236715812566
14,0.9925528877507256,-35.56791276978978
