line,loss_MWh,max_loading_percent
Line 12-13,6.567962790614053,27.68264501026698
Line 13-14,3.938675660774602,27.42838502296547
Line 14-8,1.8846789729173714,23.43028123147793
Line 2-3,1.5582570390871244,20.824081719182672
Line 1-2,0.9024179671413699,19.943601264716833
Line 3-4,0.1132830511356866,14.344923829884406
Line 7-8,0.08827286957977776,7.3341839340247335
Line 8-9,0.0652929832764979,14.40662741131005
Line 9-10,0.05206312514857492,8.545339136497123
Line 3-8,0.04299260469708443,6.517867576529877
Line 4-5,0.02843087081223672,7.328825111224011
Line 6-7,0.010071494217107235,6.549849636876711
Line 11-4,0.0053905604609014845,3.5470664683476603
Line 10-11,0.0042145423630102485,3.9390597830166283
Line 5-6,0.002477603498495351,1.6304891404193242
